,pdb,Hchain,Lchain,antigen_chain,resolution,date,mrc,antibody_selection,antigen_selection
986,6zdh,D,F,B,3.7,06/14/20,11174,chain D or chain F,chain B
1955,6zfo,H,L,E,4.4,06/17/20,11184,chain H or chain L,chain E
1323,6xgc,H,L,D | C,4.1,06/17/20,22180,chain H or chain L,chain D or chain C
1324,6xgc,M,N,B | A,4.1,06/17/20,22180,chain M or chain N,chain B or chain A
1322,6xgc,I,J,F | E,4.1,06/17/20,22180,chain I or chain J,chain F or chain E
1954,6zfo,B,C,A,4.4,06/17/20,11184,chain B or chain C,chain A
1209,7cec,H,I,B,3.9,06/22/20,30342,chain H or chain I,chain B
1210,7cec,F,G,B,3.9,06/22/20,30342,chain F or chain G,chain B
1849,6xja,A,B,P,4.0,06/23/20,22204,chain A or chain B,chain P
1848,6xja,H,L,P,4.0,06/23/20,22204,chain H or chain L,chain P
1107,7chh,D,E,A,3.49,07/05/20,30374,chain D or chain E,chain A
1105,7chh,J,K,C,3.49,07/05/20,30374,chain J or chain K,chain C
1106,7chh,G,H,B,3.49,07/05/20,30374,chain G or chain H,chain B
2003,6xob,Q,R,H,8.5,07/06/20,22277,chain Q or chain R,chain H
2001,6xob,S,T,K,8.5,07/06/20,22277,chain S or chain T,chain K
2002,6xob,M,N,B,8.5,07/06/20,22277,chain M or chain N,chain B
2004,6xob,O,P,E,8.5,07/06/20,22277,chain O or chain P,chain E
2323,6xrt,H,L,G | E | F,3.9,07/13/20,22295,chain H or chain L,chain G or chain E or chain F
1048,6xsk,H,L,F | E,3.85,07/15/20,22302,chain H or chain L,chain F or chain E
1047,6xsk,G,J,D | C,3.85,07/15/20,22302,chain G or chain J,chain D or chain C
1046,6xsk,I,K,B | A,3.85,07/15/20,22302,chain I or chain K,chain B or chain A
1850,7jgj,H,L,A,4.8,07/19/20,22328,chain H or chain L,chain A
2368,7jhg,H,L,A,3.47,07/20/20,22336,chain H or chain L,chain A
1879,7jhh,H,L,A,3.92,07/20/20,22337,chain H or chain L,chain A
2291,7cmk,H,L,A | C,3.4,07/27/20,30408,chain H or chain L,chain A or chain C
1223,7cn2,H,L,D,3.43,07/29/20,30414,chain H or chain L,chain D
2197,7jr7,E,F,B,3.3,08/11/20,22443,chain E or chain F,chain B
2196,7jr7,C,D,B | A,3.3,08/11/20,22443,chain C or chain D,chain B or chain A
2351,7jti,H,L,A,7.4,08/17/20,22474,chain H or chain L,chain A
1340,7cth,H,L,C | A,3.5,08/19/20,30465,chain H or chain L,chain C or chain A
1341,7cth,I,M,B,3.5,08/19/20,30465,chain I or chain M,chain B
1536,7jv4,D,E,B,3.4,08/20/20,22492,chain D or chain E,chain B
1567,7jvc,H,L,A,3.3,08/20/20,22506,chain H or chain L,chain A
1568,7jvc,F,G,E,3.3,08/20/20,22506,chain F or chain G,chain E
1348,7jva,H,L,A,3.6,08/20/20,22497,chain H or chain L,chain A
1535,7jv4,H,L,A,3.4,08/20/20,22492,chain H or chain L,chain A
1569,7jvc,C,D,B,3.3,08/20/20,22506,chain C or chain D,chain B
1606,7jv6,H,L,A,3.0,08/20/20,22494,chain H or chain L,chain A
1607,7jv6,C,D,B,3.0,08/20/20,22494,chain C or chain D,chain B
2339,7jv2,H,L,A,3.5,08/20/20,22491,chain H or chain L,chain A
1534,7jv4,F,G,C,3.4,08/20/20,22492,chain F or chain G,chain C
1605,7jv6,F,G,E,3.0,08/20/20,22494,chain F or chain G,chain E
1338,7a5r,I,M,B,3.7,08/21/20,11648,chain I or chain M,chain B
1312,7a5s,I,M,B,3.9,08/21/20,11647,chain I or chain M,chain B
1311,7a5s,H,L,A,3.9,08/21/20,11647,chain H or chain L,chain A
1339,7a5r,H,L,A,3.7,08/21/20,11648,chain H or chain L,chain A
1383,7jw0,G,F,E,4.3,08/24/20,22512,chain G or chain F,chain E
1382,7jw0,D,C,B,4.3,08/24/20,22512,chain D or chain C,chain B
1384,7jw0,H,L,A,4.3,08/24/20,22512,chain H or chain L,chain A
1905,7a69,C,B,A,3.2,08/25/20,11667,chain C or chain B,chain A
2131,7a6f,C,B,A,3.5,08/25/20,11672,chain C or chain B,chain A
2353,7a6e,C,B,A,3.6,08/25/20,11671,chain C or chain B,chain A
2255,7a65,C,B,A,3.9,08/25/20,11666,chain C or chain B,chain A
2247,7a6c,C,B,A,3.6,08/25/20,11670,chain C or chain B,chain A
2119,7cvz,O,P,E | D,4.7,08/27/20,30477,chain O or chain P,chain E or chain D
2118,7cvz,Q,R,H | G,4.7,08/27/20,30477,chain Q or chain R,chain H or chain G
2305,7cw0,Q,R,H | G,5.9,08/27/20,30478,chain Q or chain R,chain H or chain G
1611,7cvy,I,J,G,5.2,08/27/20,30476,chain I or chain J,chain G
1610,7cvy,S,T,Q,5.2,08/27/20,30476,chain S or chain T,chain Q
1609,7cvy,D,E,B,5.2,08/27/20,30476,chain D or chain E,chain B
1608,7cvy,N,O,L,5.2,08/27/20,30476,chain N or chain O,chain L
2304,7cw0,O,P,E | D,5.9,08/27/20,30478,chain O or chain P,chain E or chain D
2218,7cw2,W,V,e | d,4.5,08/27/20,30479,chain W or chain V,chain e or chain d
1452,7cw3,q,r,F | E,9.4,08/27/20,30480,chain q or chain r,chain F or chain E
1453,7cw3,o,p,N | M,9.4,08/27/20,30480,chain o or chain p,chain N or chain M
2217,7cw2,U,T,E | D,4.5,08/27/20,30479,chain U or chain T,chain E or chain D
1455,7cw3,k,l,f | e,9.4,08/27/20,30480,chain k or chain l,chain f or chain e
1454,7cw3,m,n,T | S,9.4,08/27/20,30480,chain m or chain n,chain T or chain S
1562,7cwl,H,L,A,3.8,08/29/20,30482,chain H or chain L,chain A
993,7cwn,L,J,C,3.2,08/29/20,30484,chain L or chain J,chain C
1561,7cwl,I,K,C,3.8,08/29/20,30482,chain I or chain K,chain C
991,7cwn,O,M,A,3.2,08/29/20,30484,chain O or chain M,chain A
2138,7cwm,H,L,A,3.6,08/29/20,30483,chain H or chain L,chain A
990,7cwn,G,F,A,3.2,08/29/20,30484,chain G or chain F,chain A
2139,7cwm,G,J,B,3.6,08/29/20,30483,chain G or chain J,chain B
2140,7cwm,I,K,C,3.6,08/29/20,30483,chain I or chain K,chain C
989,7cwn,E,D,B,3.2,08/29/20,30484,chain E or chain D,chain B
988,7cwn,K,I,B,3.2,08/29/20,30484,chain K or chain I,chain B
2074,7cwo,H,L,A,3.9,08/29/20,30485,chain H or chain L,chain A
1563,7cwl,G,J,B,3.8,08/29/20,30482,chain G or chain J,chain B
992,7cwn,H,N,C,3.2,08/29/20,30484,chain H or chain N,chain C
1175,7cws,N,K,O,3.4,08/31/20,30486,chain N or chain K,chain O
1499,7cwu,O,S,A,3.5,08/31/20,30488,chain O or chain S,chain A
1497,7cwu,J,F,A,3.5,08/31/20,30488,chain J or chain F,chain A
1496,7cwu,M,R,C,3.5,08/31/20,30488,chain M or chain R,chain C
1495,7cwu,P,I,C,3.5,08/31/20,30488,chain P or chain I,chain C
1494,7cwu,N,G,B,3.5,08/31/20,30488,chain N or chain G,chain B
1282,7cwt,E,D,A,3.7,08/31/20,30487,chain E or chain D,chain A
1281,7cwt,G,F,B,3.7,08/31/20,30487,chain G or chain F,chain B
1280,7cwt,P,M,C,3.7,08/31/20,30487,chain P or chain M,chain C
1279,7cwt,N,K,B,3.7,08/31/20,30487,chain N or chain K,chain B
1278,7cwt,L,H,A,3.7,08/31/20,30487,chain L or chain H,chain A
1277,7cwt,I,J,C,3.7,08/31/20,30487,chain I or chain J,chain C
1178,7cws,G,F,R,3.4,08/31/20,30486,chain G or chain F,chain R
1177,7cws,I,H,O,3.4,08/31/20,30486,chain I or chain H,chain O
1176,7cws,L,C,Q,3.4,08/31/20,30486,chain L or chain C,chain Q
1173,7cws,P,M,R,3.4,08/31/20,30486,chain P or chain M,chain R
1498,7cwu,H,L,B,3.5,08/31/20,30488,chain H or chain L,chain B
1174,7cws,E,D,Q,3.4,08/31/20,30486,chain E or chain D,chain Q
1874,7cyh,E,D,A,3.9,09/03/20,30500,chain E or chain D,chain A
2155,7cyp,E,D,A,3.5,09/04/20,30503,chain E or chain D,chain A
2156,7cyp,I,H,C,3.5,09/04/20,30503,chain I or chain H,chain C
2157,7cyp,G,F,B,3.5,09/04/20,30503,chain G or chain F,chain B
1199,7czu,H,K,A,3.4,09/09/20,30517,chain H or chain K,chain A
2299,7czq,H,K,A,2.8,09/09/20,30513,chain H or chain K,chain A
2298,7czq,J,N,C,2.8,09/09/20,30513,chain J or chain N,chain C
2191,7d0c,H,L,A,3.4,09/09/20,30530,chain H or chain L,chain A
1398,7d0d,G,F,B,3.8,09/09/20,30531,chain G or chain F,chain B
1126,7czx,I,M,B,2.8,09/09/20,30520,chain I or chain M,chain B
1127,7czx,H,K,A,2.8,09/09/20,30520,chain H or chain K,chain A
1825,7czz,H,K,A,3.2,09/09/20,30522,chain H or chain K,chain A
1997,7d0b,H,L,A,3.9,09/09/20,30529,chain H or chain L,chain A
1824,7czz,J,N,C,3.2,09/09/20,30522,chain J or chain N,chain C
1128,7czx,J,N,C,2.8,09/09/20,30520,chain J or chain N,chain C
2006,7czt,I,M,C,2.7,09/09/20,30516,chain I or chain M,chain C
2007,7czt,H,L,A,2.7,09/09/20,30516,chain H or chain L,chain A
1823,7czz,I,M,B,3.2,09/09/20,30522,chain I or chain M,chain B
2190,7d0c,G,F,C,3.4,09/09/20,30530,chain G or chain F,chain C
1619,7czy,J,N,C,3.3,09/09/20,30521,chain J or chain N,chain C
1618,7czy,H,K,A,3.3,09/09/20,30521,chain H or chain K,chain A
1577,7czs,J,N,C,3.6,09/09/20,30515,chain J or chain N,chain C
1687,7czr,J,N,C,3.5,09/09/20,30514,chain J or chain N,chain C
1397,7d0d,H,L,A,3.8,09/09/20,30531,chain H or chain L,chain A
1686,7czr,H,K,A,3.5,09/09/20,30514,chain H or chain K,chain A
1682,7czv,I,M,B,3.3,09/09/20,30518,chain I or chain M,chain B
1681,7czv,J,N,C,3.3,09/09/20,30518,chain J or chain N,chain C
2232,7d03,H,L,A,3.2,09/09/20,30524,chain H or chain L,chain A
1680,7czv,H,K,A,3.3,09/09/20,30518,chain H or chain K,chain A
1575,7czs,I,M,B,3.6,09/09/20,30515,chain I or chain M,chain B
1476,7czp,J,N,C,3.0,09/09/20,30512,chain J or chain N,chain C
2129,7d00,J,N,C,3.0,09/09/20,30523,chain J or chain N,chain C
1953,7czw,J,N,C,2.8,09/09/20,30519,chain J or chain N,chain C
1952,7czw,H,L,A,2.8,09/09/20,30519,chain H or chain L,chain A
1477,7czp,H,L,A,3.0,09/09/20,30512,chain H or chain L,chain A
1200,7czu,J,N,C,3.4,09/09/20,30517,chain J or chain N,chain C
1576,7czs,H,K,A,3.6,09/09/20,30515,chain H or chain K,chain A
2130,7d00,H,K,A,3.0,09/09/20,30523,chain H or chain K,chain A
1677,7k3b,J,I,C | D,3.4,09/10/20,22655,chain J or chain I,chain C or chain D
1675,7k3b,L,K,E | F,3.4,09/10/20,22655,chain L or chain K,chain E or chain F
1676,7k3b,H,G,A | B,3.4,09/10/20,22655,chain H or chain G,chain A or chain B
1799,7k37,J,I,C | D,2.8,09/10/20,22652,chain J or chain I,chain C or chain D
1800,7k37,H,G,A | B,2.8,09/10/20,22652,chain H or chain G,chain A or chain B
1801,7k37,L,K,E | F,2.8,09/10/20,22652,chain L or chain K,chain E or chain F
2294,7k3a,J,I,C | D,4.2,09/10/20,22654,chain J or chain I,chain C or chain D
1396,7k39,H,G,A | B,3.0,09/10/20,22653,chain H or chain G,chain A or chain B
1395,7k39,L,K,E | F,3.0,09/10/20,22653,chain L or chain K,chain E or chain F
1394,7k39,J,I,C | D,3.0,09/10/20,22653,chain J or chain I,chain C or chain D
2293,7k3a,H,G,A | B,4.2,09/10/20,22654,chain H or chain G,chain A or chain B
2292,7k3a,L,K,E | F,4.2,09/10/20,22654,chain L or chain K,chain E or chain F
2163,7k45,H,L,B,3.7,09/14/20,22660,chain H or chain L,chain B
1129,7k43,C,D,B,2.6,09/14/20,22659,chain C or chain D,chain B
1131,7k43,H,L,A,2.6,09/14/20,22659,chain H or chain L,chain A
1130,7k43,F,G,E,2.6,09/14/20,22659,chain F or chain G,chain E
2182,7k4n,H,L,A,3.3,09/15/20,22668,chain H or chain L,chain A
2180,7k4n,C,D,B,3.3,09/15/20,22668,chain C or chain D,chain B
2181,7k4n,F,G,E,3.3,09/15/20,22668,chain F or chain G,chain E
2285,7d3l,H,L,2,3.68,09/19/20,30559,chain H or chain L,chain 2
1934,7d3k,H,L,2,3.9,09/19/20,30558,chain H or chain L,chain 2
1762,7d3m,H,L,1 | 3,3.94,09/19/20,30560,chain H or chain L,chain 1 or chain 3
1983,7d3r,H,L,1 | 3,3.49,09/20/20,30565,chain H or chain L,chain 1 or chain 3
1721,7k7i,P,Q,D,3.13,09/22/20,22700,chain P or chain Q,chain D
1720,7k7i,J,K,B,3.13,09/22/20,22700,chain J or chain K,chain B
1719,7k7i,H,L,A,3.13,09/22/20,22700,chain H or chain L,chain A
2357,7k7h,H,L,A | C | G,3.0,09/22/20,22699,chain H or chain L,chain A or chain C or chain G
1717,7k7i,X,Y,E,3.13,09/22/20,22700,chain X or chain Y,chain E
1718,7k7i,M,N,C,3.13,09/22/20,22700,chain M or chain N,chain C
1826,7d4g,N,G,B,3.9,09/23/20,30573,chain N or chain G,chain B
1716,7k8t,M,N,B,3.4,09/27/20,22730,chain M or chain N,chain B
1714,7k8t,O,P,A,3.4,09/27/20,22730,chain O or chain P,chain A
1590,7k90,H,L,B,3.24,09/27/20,22737,chain H or chain L,chain B
1589,7k90,O,P,C,3.24,09/27/20,22737,chain O or chain P,chain C
1715,7k8t,H,L,C,3.4,09/27/20,22730,chain H or chain L,chain C
1726,7k8y,G,I,B | D,4.4,09/27/20,22735,chain G or chain I,chain B or chain D
1313,7k8w,N,S,G,3.6,09/27/20,22733,chain N or chain S,chain G
1588,7k90,M,N,A,3.24,09/27/20,22737,chain M or chain N,chain A
2289,7k8x,E,G,A,3.9,09/27/20,22734,chain E or chain G,chain A
1679,7k8u,H,L,A | B,3.8,09/27/20,22731,chain H or chain L,chain A or chain B
1314,7k8w,H,L,A | B,3.6,09/27/20,22733,chain H or chain L,chain A or chain B
2288,7k8x,D,F,B | C,3.9,09/27/20,22734,chain D or chain F,chain B or chain C
1252,7k8s,M,N,C,3.4,09/27/20,22729,chain M or chain N,chain C
1763,7k8v,M,N,C,3.8,09/27/20,22732,chain M or chain N,chain C
1765,7k8z,M,N,C,3.5,09/27/20,22736,chain M or chain N,chain C
1764,7k8v,H,L,A | B,3.8,09/27/20,22732,chain H or chain L,chain A or chain B
1250,7k8s,H,L,A,3.4,09/27/20,22729,chain H or chain L,chain A
1766,7k8z,H,L,A,3.5,09/27/20,22736,chain H or chain L,chain A
1251,7k8s,O,P,B,3.4,09/27/20,22729,chain O or chain P,chain B
2185,7k9j,H,L,A,3.0,09/29/20,22750,chain H or chain L,chain A
1722,7k9h,H,L,B | A,3.2,09/29/20,22748,chain H or chain L,chain B or chain A
2314,7k9k,H,L,A,3.14,09/29/20,22751,chain H or chain L,chain A
2186,7k9j,J,N,C,3.0,09/29/20,22750,chain J or chain N,chain C
2187,7k9j,I,M,B,3.0,09/29/20,22750,chain I or chain M,chain B
2272,7k9i,H,L,A,3.3,09/29/20,22749,chain H or chain L,chain A
1723,7k9h,I,M,C,3.2,09/29/20,22748,chain I or chain M,chain C
1206,7akd,D,E,C,4.0,09/30/20,11812,chain D or chain E,chain C
1205,7akd,H,L,B,4.0,09/30/20,11812,chain H or chain L,chain B
1732,7kbb,H,L,D,4.02,10/01/20,22788,chain H or chain L,chain D
1958,7akj,H,L,A,3.8,10/01/20,11813,chain H or chain L,chain A
1731,7kbb,A,B,E | C,4.02,10/01/20,22788,chain A or chain B,chain E or chain C
1959,7akj,G,F,C,3.8,10/01/20,11813,chain G or chain F,chain C
1960,7akj,E,D,B,3.8,10/01/20,11813,chain E or chain D,chain B
2125,7kc1,H,L,B | A,3.41,10/04/20,22804,chain H or chain L,chain B or chain A
2126,7kc1,J,K,I | G,3.41,10/04/20,22804,chain J or chain K,chain I or chain G
2127,7kc1,E,F,D | C,3.41,10/04/20,22804,chain E or chain F,chain D or chain C
1756,7kcr,H,L,C | A | E,4.0,10/07/20,22818,chain H or chain L,chain C or chain A or chain E
1835,7kde,H,L,G,3.55,10/08/20,22820,chain H or chain L,chain G
1836,7kde,Q,R,C,3.55,10/08/20,22820,chain Q or chain R,chain C
1837,7kde,M,N,E,3.55,10/08/20,22820,chain M or chain N,chain E
1840,7kde,S,T,A,3.55,10/08/20,22820,chain S or chain T,chain A
1838,7kde,O,P,G | B,3.55,10/08/20,22820,chain O or chain P,chain G or chain B
2073,7kdd,F,G,B,3.5,10/08/20,22819,chain F or chain G,chain B
2072,7kdd,H,I,C,3.5,10/08/20,22819,chain H or chain I,chain C
2071,7kdd,D,E,A,3.5,10/08/20,22819,chain D or chain E,chain A
1839,7kde,J,I,F,3.55,10/08/20,22820,chain J or chain I,chain F
1668,7kej,H,K,B,3.8,10/11/20,22839,chain H or chain K,chain B
1669,7kej,I,L,C,3.8,10/11/20,22839,chain I or chain L,chain C
1670,7kej,G,J,A,3.8,10/11/20,22839,chain G or chain J,chain A
1704,7kex,H,K,B,4.25,10/13/20,22842,chain H or chain K,chain B
1834,7kfe,H,J,C,6.6,10/13/20,22851,chain H or chain J,chain C
1833,7kfe,G,I,B,6.6,10/13/20,22851,chain G or chain I,chain B
2043,7kew,H,K,B,4.16,10/13/20,22841,chain H or chain K,chain B
1705,7kex,I,L,C,4.25,10/13/20,22842,chain I or chain L,chain C
2041,7kew,G,J,A,4.16,10/13/20,22841,chain G or chain J,chain A
1211,7kfh,G,J,A,3.8,10/13/20,22853,chain G or chain J,chain A
1212,7kfh,I,L,C,3.8,10/13/20,22853,chain I or chain L,chain C
1744,7kf9,H,K,B,4.4,10/13/20,22847,chain H or chain K,chain B
2042,7kew,I,L,C,4.16,10/13/20,22841,chain I or chain L,chain C
1930,7kfb,H,K,B,3.9,10/13/20,22848,chain H or chain K,chain B
1929,7kfb,G,J,A,3.9,10/13/20,22848,chain G or chain J,chain A
1928,7kfb,I,L,C,3.9,10/13/20,22848,chain I or chain L,chain C
1703,7kex,G,J,A,4.25,10/13/20,22842,chain G or chain J,chain A
1742,7kf9,G,J,A,4.4,10/13/20,22847,chain G or chain J,chain A
1743,7kf9,I,L,C,4.4,10/13/20,22847,chain I or chain L,chain C
1213,7kfh,H,K,B,3.8,10/13/20,22853,chain H or chain K,chain B
1899,7ki6,H,L,A,2.8,10/23/20,22885,chain H or chain L,chain A
1980,7ki4,D,C,B,2.9,10/23/20,22884,chain D or chain C,chain B
1979,7ki4,H,L,A,2.9,10/23/20,22884,chain H or chain L,chain A
1900,7ki6,D,C,B,2.8,10/23/20,22885,chain D or chain C,chain B
1981,7ki4,G,F,E,2.9,10/23/20,22884,chain G or chain F,chain E
1901,7ki6,G,F,E,2.8,10/23/20,22885,chain G or chain F,chain E
1456,7dcc,D,H,E,4.3,10/24/20,30635,chain D or chain H,chain E
1458,7dcc,B,M,I,4.3,10/24/20,30635,chain B or chain M,chain I
1457,7dcc,A,F,K,4.3,10/24/20,30635,chain A or chain F,chain K
1240,7dce,H,L,B | X,3.8,10/26/20,30636,chain H or chain L,chain B or chain X
2321,7dd2,E,H,K | D,5.6,10/27/20,30642,chain E or chain H,chain K or chain D
2322,7dd2,A,B,C,5.6,10/27/20,30642,chain A or chain B,chain C
1030,7dcx,B,G,D,5.9,10/27/20,30641,chain B or chain G,chain D
1031,7dcx,E,H,K,5.9,10/27/20,30641,chain E or chain H,chain K
1032,7dcx,A,F,C,5.9,10/27/20,30641,chain A or chain F,chain C
1599,7dd8,A,B,C | D,7.5,10/28/20,30649,chain A or chain B,chain C or chain D
1416,7kml,I,M,B,3.8,11/03/20,22926,chain I or chain M,chain B
1417,7kml,H,L,A,3.8,11/03/20,22926,chain H or chain L,chain A
2133,7kmk,H,L,A,4.2,11/03/20,22925,chain H or chain L,chain A
2134,7kmk,I,M,B,4.2,11/03/20,22925,chain I or chain M,chain B
1415,7kml,J,N,C,3.8,11/03/20,22926,chain J or chain N,chain C
1883,7kqb,K,J,C,2.42,11/14/20,22993,chain K or chain J,chain C
1884,7kqb,H,L,A,2.42,11/14/20,22993,chain H or chain L,chain A
2046,7kqe,I,N,B,2.88,11/15/20,22997,chain I or chain N,chain B
2045,7kqe,H,L,A,2.88,11/15/20,22997,chain H or chain L,chain A
2044,7kqe,J,M,C,2.88,11/15/20,22997,chain J or chain M,chain C
1598,7kr5,M,N,D | C,3.3,11/18/20,23002,chain M or chain N,chain D or chain C
1596,7kr5,O,P,F | E,3.3,11/18/20,23002,chain O or chain P,chain F or chain E
1597,7kr5,H,L,B | A,3.3,11/18/20,23002,chain H or chain L,chain B or chain A
2347,7kra,I,J,A,3.2,11/19/20,23003,chain I or chain J,chain A
1521,7ks9,H,L,B,4.75,11/21/20,23016,chain H or chain L,chain B
1306,7dk4,c,d,B,3.8,11/23/20,30702,chain c or chain d,chain B
1304,7dk4,a,b,A,3.8,11/23/20,30702,chain a or chain b,chain A
1642,7dk7,c,d,B,9.7,11/23/20,30705,chain c or chain d,chain B
1945,7dk6,a,b,A,4.3,11/23/20,30704,chain a or chain b,chain A
1946,7dk6,c,d,B,4.3,11/23/20,30704,chain c or chain d,chain B
1305,7dk4,e,f,C,3.8,11/23/20,30702,chain e or chain f,chain C
1640,7dk7,a,b,A,9.7,11/23/20,30705,chain a or chain b,chain A
1641,7dk7,e,f,C,9.7,11/23/20,30705,chain e or chain f,chain C
1683,7dkj,C,D,A,3.7,11/24/20,30707,chain C or chain D,chain A
1685,7dkj,K,L,I,3.7,11/24/20,30707,chain K or chain L,chain I
1973,7ktx,I,J,A,4.3,11/24/20,23033,chain I or chain J,chain A
1684,7dkj,G,H,E,3.7,11/24/20,30707,chain G or chain H,chain E
1881,7kxj,J,N,C,6.4,12/04/20,23064,chain J or chain N,chain C
1880,7kxj,H,L,A,6.4,12/04/20,23064,chain H or chain L,chain A
1014,7kxk,I,M,B,5.0,12/04/20,23065,chain I or chain M,chain B
1016,7kxk,J,N,C,5.0,12/04/20,23065,chain J or chain N,chain C
1015,7kxk,H,L,A,5.0,12/04/20,23065,chain H or chain L,chain A
1882,7kxj,I,M,B,6.4,12/04/20,23064,chain I or chain M,chain B
1935,7dnk,H,L,D | A | C | E,6.41,12/09/20,30786,chain H or chain L,chain D or chain A or chain C or chain E
2212,7dnl,H,L,B | A,4.19,12/09/20,30787,chain H or chain L,chain B or chain A
1321,7dnh,H,L,E | A,3.64,12/09/20,30783,chain H or chain L,chain E or chain A
1892,7kzx,F,E,A,4.0,12/10/20,23092,chain F or chain E,chain A
1516,7l02,H,L,T,3.2,12/10/20,23094,chain H or chain L,chain T
1891,7kzx,D,C,B,4.0,12/10/20,23092,chain D or chain C,chain B
2249,7kzz,F,E,B,3.42,12/10/20,23093,chain F or chain E,chain B
2248,7kzz,D,C,A,3.42,12/10/20,23093,chain D or chain C,chain A
1515,7l02,M,K,A,3.2,12/10/20,23094,chain M or chain K,chain A
1295,7l06,D,F,W,3.3,12/11/20,23095,chain D or chain F,chain W
1296,7l06,M,K,A,3.3,12/11/20,23095,chain M or chain K,chain A
1646,7l09,M,K,A,3.1,12/11/20,23097,chain M or chain K,chain A
1645,7l09,H,L,T,3.1,12/11/20,23097,chain H or chain L,chain T
1556,7l0l,G,J,E | C,2.85,12/11/20,23098,chain G or chain J,chain E or chain C
1557,7l0l,H,L,B | A,2.85,12/11/20,23098,chain H or chain L,chain B or chain A
1558,7l0l,I,K,F | D,2.85,12/11/20,23098,chain I or chain K,chain F or chain D
1294,7l06,G,E,B,3.3,12/11/20,23095,chain G or chain E,chain B
1293,7l06,H,L,U,3.3,12/11/20,23095,chain H or chain L,chain U
1029,7l2e,I,K,C,2.97,12/16/20,23126,chain I or chain K,chain C
1806,7l2f,H,L,A,3.9,12/16/20,23127,chain H or chain L,chain A
1807,7l2f,I,K,B,3.9,12/16/20,23127,chain I or chain K,chain B
1808,7l2f,G,J,C,3.9,12/16/20,23127,chain G or chain J,chain C
1028,7l2e,G,J,B,2.97,12/16/20,23126,chain G or chain J,chain B
1027,7l2e,H,L,A,2.97,12/16/20,23126,chain H or chain L,chain A
2158,7l2d,H,L,A,3.55,12/16/20,23125,chain H or chain L,chain A
1893,7l3n,D,E,B | C,3.27,12/18/20,23156,chain D or chain E,chain B or chain C
1363,7l56,F,G,C,3.6,12/21/20,23165,chain F or chain G,chain C
1362,7l56,J,K,B,3.6,12/21/20,23165,chain J or chain K,chain B
1267,7l57,H,L,B,5.87,12/21/20,23166,chain H or chain L,chain B
2266,7l58,H,L,B,5.07,12/21/20,23167,chain H or chain L,chain B
1361,7l56,H,L,A,3.6,12/21/20,23165,chain H or chain L,chain A
1450,7l5j,Y,X,A,3.2,12/22/20,23187,chain Y or chain X,chain A
1451,7l5j,W,L,B,3.2,12/22/20,23187,chain W or chain L,chain B
2094,7dq7,H,L,B,3.2,12/22/20,30815,chain H or chain L,chain B
1255,7la4,H,L,A,3.3,01/05/21,23245,chain H or chain L,chain A
2135,7lab,Y,X,B,2.97,01/06/21,23248,chain Y or chain X,chain B
2145,7laa,H,L,A,3.42,01/06/21,23246,chain H or chain L,chain A
2137,7lab,T,S,A,2.97,01/06/21,23248,chain T or chain S,chain A
2136,7lab,H,L,C,2.97,01/06/21,23248,chain H or chain L,chain C
1520,7lbe,F,E,A,2.9,01/07/21,23252,chain F or chain E,chain A
1870,7lbf,H,G,A,2.8,01/07/21,23253,chain H or chain G,chain A
1519,7lbe,H,G,A,2.9,01/07/21,23252,chain H or chain G,chain A
2240,7lbg,F,E,A,2.6,01/07/21,23254,chain F or chain E,chain A
2241,7lbg,H,G,A,2.6,01/07/21,23254,chain H or chain G,chain A
1869,7lbf,F,E,A,2.8,01/07/21,23253,chain F or chain E,chain A
1635,7lcn,M,S,K,3.35,01/11/21,23277,chain M or chain S,chain K
1634,7lcn,H,L,C,3.35,01/11/21,23277,chain H or chain L,chain C
1633,7lcn,B,D,A,3.35,01/11/21,23277,chain B or chain D,chain A
1830,7ld1,M,N,C,3.4,01/12/21,23279,chain M or chain N,chain C
1832,7ld1,H,L,B,3.4,01/12/21,23279,chain H or chain L,chain B
1831,7ld1,P,O,A,3.4,01/12/21,23279,chain P or chain O,chain A
2054,7ldd,K,J,D,3.4,01/13/21,23283,chain K or chain J,chain D
2057,7ldd,N,M,B,3.4,01/13/21,23283,chain N or chain M,chain B
2056,7ldd,L,L,A,3.4,01/13/21,23283,chain L or chain L,chain A
2055,7ldd,I,I,C,3.4,01/13/21,23283,chain I or chain I,chain C
2221,7lde,K,J,D,3.9,01/13/21,23284,chain K or chain J,chain D
2224,7lde,L,L,A,3.9,01/13/21,23284,chain L or chain L,chain A
2223,7lde,N,M,B,3.9,01/13/21,23284,chain N or chain M,chain B
2222,7lde,I,I,C,3.9,01/13/21,23284,chain I or chain I,chain C
1221,7lf0,G,I,A,3.68,01/15/21,23296,chain G or chain I,chain A
1467,7lez,R,P,N,4.15,01/15/21,23295,chain R or chain P,chain N
1222,7lf0,Q,O,J,3.68,01/15/21,23296,chain Q or chain O,chain J
1246,7ley,D,E,A,3.05,01/15/21,23294,chain D or chain E,chain A
1468,7lez,Q,O,M | J,4.15,01/15/21,23295,chain Q or chain O,chain M or chain J
1144,7lex,F,H,C,3.6,01/15/21,23293,chain F or chain H,chain C
1145,7lex,G,I,A,3.6,01/15/21,23293,chain G or chain I,chain A
1330,7lf2,O,M,R,3.72,01/15/21,23298,chain O or chain M,chain R
